titulo_pelicula,director,ciclo,pais,asistencia,funciones,genero,anio_exhibicion,mes_exhibicion,lugar_exhibicion
Una noche de no saber nada,Payal Kapadia,Estrenos,India-Francia,840,29,Adultos,2024,Mayo,Sala
Zapatos rojos,Carlos Eichelmann Kaiser,CC,México-Italia,174,1,Adultos,2024,Mayo,Sala
"
 SERGIO ARAU Y LOS 
MISMÍSIMOS ÁNGELES/ ULTIMÁTUM",Alberto Cortés,"ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,60,1,Adultos,2024,Mayo,Foro Gratis
"SANTA SABINA/ HEAVY NOPAL/
BON","Emanuel Lubezki Alberto Cortés, Luis Estrada, Miguel Mora, Emanuel Lubezki y Juan Carlos Colín","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,60,1,Adultos,2024,Mayo,Foro Gratis
"JAIME LÓPEZ/
ROCK A MITAD DE LA CALLE ","Emanuel Lubezki, México, Rafael Montero","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,213,3,Adultos,2024,Mayo,Foro Gratis
"ALEX LORA/
TEX TEX / NEÓN"," Alberto Cortés, Luis Estrada","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,510,3,Adultos,2024,Mayo,Foro Gratis
"FOBIA/ CAIFANES/
MÉXICO LINDO Y ROCKERO","(Miguel Mora  Emanuel Lubezk, Alberto Cortés, Luis Estrada, Miguel Mora, Emanuel Lubezki y Juan Carlos Colín, ","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,311,3,Adultos,2024,Mayo,Foro Gratis
POLA WEISS DOCUMENTAL,Alejandra Arrieta,Funciones especiales,México,230,1,Adultos,2024,Mayo,Foro Gratis
PROYECCIÓN DEL CONCIERTO OFUNAM,Varios,BICENTENARIO DE LA NOVENA DE BEETHOVEN CON OFUNAM,Sin dato,60,1,Adultos,2024,Mayo,Foro Gratis
"ROCK A MITAD DE LA CALLE/ 
JAIME LÓPEZ","Rafael Montero, Emanuel Lubezki","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,89,1,Adultos,2024,Mayo,Foro Gratis
"ROCK POP/ SANGRE AZTECA/
LAS LETRAS DEL RITMO","Alberto Cortés, Luis Estrada, Miguel Mora, Emanuel Lubezki, Juan Carlos Colín, ","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,150,1,Adultos,2024,Mayo,Foro Gratis
"SERGIO ARAU Y LOS 
MISMÍSIMOS ÁNGELES/ ULTIMÁTUM/
MALDITA VECINDAD/ ","Juan Carlos Colín, Miguel Mora, Alberto Cortés","ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,220,2,Adultos,2024,Mayo,Foro Gratis
CONCIERTO CAIFANES AUDITORIO NACIONAL 1989 ,Emanuel Lubezki,"ÁGUILA O ROCK
El rock mexicano a fines de los ochenta",México,470,2,Adultos,2024,Mayo,Foro Gratis
LA ESCOBILLA,Eduardo Israel Castillo Tenorio,Funciones especiales,México,90,1,Adultos,2024,Mayo,Foro Gratis
"CORTOMETRAJES DE POLANSKI
ASESINATO/ LA SONRISA CON LOS DIENTES/ NTERRUMPIENDO LA FIESTA/  DOS HOMBRES Y UN ARMARIO/  LA LÁMPARA/  CUANDO LOS ÁNGELES CAEN",Krzysztof Kie?lowski,POLONIA: OPERAS PRIMAS,Polonia,60,1,Adultos,2024,Mayo,Foro Gratis
EL CARRETÓN DEL DESIERTO,Jorge Prior,CC,México,296,5,Adultos,2024,Mayo,Foro Gratis
¿Dónde está esta calle? o ni antes ni después,João Pedro Rodrigues y João Rui Guerra da Mata,8 Semana de Cine Portugués,Portugal-Francia,16,1,Adultos,2024,Junio,Sala
¿Quién detendrá la lluvia?,I-Hsuan Su,Festival Mix 2024,Taiwán,61,1,Adultos,2024,Junio,Sala
"20,000 especies de abejas",Estibaliz Urresola Solaguren,Estrenos,España,644,10,Adultos,2024,Junio,Sala
A 50 años del 25 de abril,Varios,8 Semana de Cine Portugués,Portugal,138,1,Adultos,2024,Junio,Sala
A Spoiling Rain,Haruhiko Arai,FICUNAM 2024,Japón,91,1,Adultos,2024,Junio,Sala
A través de las tumbas sopla el viento,Travis Wilkerson,FICUNAM 2024,Estados Unidos,116,1,Adultos,2024,Junio,Sala
Abiding Nowhere,Tsai Ming-liang,FICUNAM 2024,"Taiwán, Estados Unidos",76,1,Adultos,2024,Junio,Sala
Abrázame fuerte,Mathieu Amalric,FICUNAM 2024,Francia,98,1,Adultos,2024,Junio,Sala
Acteal: barbarie y memoria,,Funciones especiales,,174,1,Adultos,2024,Junio,Sala
Ad Absurdum,Hugo Alfredo Hinojosa,Festival Mix 2024,México,130,1,Adultos,2024,Junio,Sala
Aggro Dr1ft,Harmony Korine,FICUNAM 2024,Estados Unidos,171,1,Adultos,2024,Junio,Sala
Amor a la mexicana 2024,,Festival Mix 2024,,250,2,Adultos,2024,Junio,Sala
Anhell69,Theo Montoya,Estrenos,Colombia-Rumania-Francia-Alemania,880,28,Adultos,2024,Junio,Sala
Architecton,Victor Kossakovsky,FICUNAM 2024,"Alemania, Francia, Estados Unidos",101,1,Adultos,2024,Junio,Sala
Arriba el telón,Mathieu Amalric,FICUNAM 2024,Francia-Alemania,44,1,Adultos,2024,Junio,Sala
Baldiga. Corazón sin candado,Markus Stein,Festival Mix 2024,Alemania,108,1,Adultos,2024,Junio,Sala
Barbara,Mathieu Amalric,FICUNAM 2024,Francia,59,1,Adultos,2024,Junio,Sala
Belarmino,Fernando Lopes,8 Semana de Cine Portugués,Portugal,48,1,Adultos,2024,Junio,Sala
Carolina Jaschack,Varios,Funciones especiales,México-Francia,50,1,Adultos,2024,Junio,Sala
Cascabel,Raúl Araiza,Extensión Académica,México,50,1,Adultos,2024,Junio,Sala
Cerrar los ojos,Víctor Erice,FICUNAM 2024,España,170,1,Adultos,2024,Junio,Sala
Cineclub: Corpus. Una película para Selena,Lourdes Portillo,Extensión Académica,Estados Unidos,37,1,Adultos,2024,Junio,Sala
Cineclub: El acto de matar,Joshua Oppenhaimer,Extensión Académica,Dinamarca,37,1,Adultos,2024,Junio,Sala
Cineclub: El clan,Pablo Trapero,Extensión Académica,Argentina,61,1,Adultos,2024,Junio,Sala
Cineclub: El diablo nunca duerme,Lourdes Portillo,Extensión Académica,México,37,1,Adultos,2024,Junio,Sala
Cineclub: El lado oscuro del corazón,Eliseo Subiela,Extensión Académica,Argentina,85,1,Adultos,2024,Junio,Sala
Cineclub: El secreto de sus ojos,Juan José Campanella,Extensión Académica,Argentina,37,1,Adultos,2024,Junio,Sala
Cineclub: Juegos divertidos,Michael Haneke,Extensión Académica,Austria,37,1,Adultos,2024,Junio,Sala
Cineclub: La ciénaga,Lucrecia Martel,Extensión Académica,Argentina,70,1,Adultos,2024,Junio,Sala
Cineclub: Machuca,Andrés Wood,Extensión Académica,Andrés Wood,60,1,Adultos,2024,Junio,Sala
Cineclub: Relatos Salvajes,Damián Szifrón,Extensión Académica,Argentina,37,1,Adultos,2024,Junio,Sala
Cineclub: Señorita extraviada,Lourdes Portillo,Extensión Académica,México,37,1,Adultos,2024,Junio,Sala
Cineclub: Tenemos que hablar de Kevin,Lynne Ramsay,Extensión Académica,Reino Unido,37,1,Adultos,2024,Junio,Sala
Ciudad Rabat,Susana Nobre,8 Semana de Cine Portugués,Portugal-Francia,19,1,Adultos,2024,Junio,Sala
Clandestina,Maria Mire,8 Semana de Cine Portugués,Portugal,50,1,Adultos,2024,Junio,Sala
Club cero,Jessica Hausner,Estrenos,Austria-Francia-Reino Unido-Alemania-Dinamarca-Catar,3026,34,Adultos,2024,Junio,Sala
Cómo contar un secreto,Anna Rodgers y Shaun Dunne,Festival Mix 2024,Irlanda,178,2,Adultos,2024,Junio,Sala
Compromiso con la vida,Jeffrey Schwartz,Festival Mix 2024,EUA,99,1,Adultos,2024,Junio,Sala
Conferencias de Cine Clásico Mexicano,Jaime Humberto Hermosillo,Extensión Académica,México,306,3,Adultos,2024,Junio,Sala
Conversando con Nuestros Cineastas 2024,John Lands,Extensión Académica,México,377,4,Adultos,2024,Junio,Sala
Culpa y deseo,Catherine Breilla,Estrenos,Francia-Noruega,1859,28,Adultos,2024,Junio,Sala
Dahomey,Mati Diop,FICUNAM 2024,"Francia, Senegal, Berlín",108,1,Adultos,2024,Junio,Sala
Despúes,Sofía Gómez Córdova,Festival Mix 2024,México,75,1,Adultos,2024,Junio,Sala
Días perfectos,Wim Wenders,Estrenos,Japón-Alemania,4728,43,Adultos,2024,Junio,Sala
El castigo,Matías Bize,Estrenos,Chile-Argentina,221,6,Adultos,2024,Junio,Sala
El cobrador: In God We Trust,Paul Leduc,FICUNAM 2024,México-España-Argentina-Francia-Brasil-Reino Unido,62,1,Adultos,2024,Junio,Sala
El espíritu de la colmena,Víctor Erice,FICUNAM 2024,España,170,1,Adultos,2024,Junio,Sala
El libro de las soluciones,Michel Gondry,Estrenos,Francia,603,6,Adultos,2024,Junio,Sala
El maestro jardinero,Paul Schrader,Estrenos,Estados Unidos,1282,22,Adultos,2024,Junio,Sala
El retorno a la razón,Man Ray,FICUNAM 2024,Francia,97,1,Adultos,2024,Junio,Sala
El sabor de la vida,Tr?n Anh Hùng,Estrenos,Francia-Bélgica,1959,27,Adultos,2024,Junio,Sala
El secuestro del papa,Marco Bellocchio.,Estrenos,Italia-Francia-Alemania,403,9,Adultos,2024,Junio,Sala
El sol del membrillo,Víctor Erice,FICUNAM 2024,España,168,1,Adultos,2024,Junio,Sala
El sur,Víctor Erice,FICUNAM 2024,"España, Francia",170,1,Adultos,2024,Junio,Sala
El tiempo de la hormiga,Stephanie Brewster Ramírez,Estrenos,México,698,31,Adultos,2024,Junio,Sala
Elaha,Milena Aboyan,Estrenos,Alemania,1048,17,Adultos,2024,Junio,Sala
Ese soplo,Valentina Baracco Pena,Estrenos,Uruguay,439,31,Adultos,2024,Junio,Sala
Fiesta en la madriguera,Manolo Caro,Estrenos,México,173,8,Adultos,2024,Junio,Sala
Fifaliana,Lorenzo Hagerman,Estrenos,México,393,35,Adultos,2024,Junio,Sala
Formas de atravesar un territorio,Gabriela Domínguez Ruvalcaba,FICUNAM 2024,México,170,1,Adultos,2024,Junio,Sala
Frida,Carla Gutierrez,Estrenos,Estados Unidos,352,8,Adultos,2024,Junio,Sala
Frida: Naturaleza viva,Paul Leduc,FICUNAM 2024,México,94,2,Adultos,2024,Junio,Sala
Fuego fatuo,João Pedro Rodrigues,8 Semana de Cine Portugués,Portugal-Francia,20,1,Adultos,2024,Junio,Sala
Fuego interior: réquiem para Katia y Maurice,Werner Herzog,Estrenos,Reino Unido-Francia-Suiza-Estados Unidos,1570,27,Adultos,2024,Junio,Sala
GAZA la franja del exterminio,Rafael Rangel,Funciones especiales,México-Egipto,348,2,Adultos,2024,Junio,Sala
Gilda Love,Elio Colen Mirete,Festival Mix 2024,España,12,1,Adultos,2024,Junio,Sala
Góndola,Veit Helmer,Festival Mix 2024,Alemania/ Georgia,67,1,Adultos,2024,Junio,Sala
Hachiko: una historia verdadera,Xu Ang,Estrenos,China,2508,31,Adultos,2024,Junio,Sala
Henry Fonda para presidente,Alexander Horwath,FICUNAM 2024,"Austria, Alemania",41,1,Adultos,2024,Junio,Sala
Huling Palabas / Fin,Ryan Machado,Festival Mix 2024,Filipinas,34,1,Adultos,2024,Junio,Sala
Intensamente 2 DOB,Kelsey Mann,Matiné infantil 2024,Estados Unidos-Japón,1097,6,Niños,2024,Junio,Sala
Julia no te cases,Pablo Levy,Estrenos,Argentina,327,19,Adultos,2024,Junio,Sala
Juventud (primavera),Wang Bing,FICUNAM 2024,"Francia, Luxemburgo, Países Bajos",48,1,Adultos,2024,Junio,Sala
Kenya,Gisela Delgadillo,Estrenos,México,1048,28,Adultos,2024,Junio,Sala
La Frontera verde,Agnieszka Holland,Estrenos,Polonia-Estados Unidos-Francia-República Checa-Bélgica-Alemania-Turquía,812,49,Adultos,2024,Junio,Sala
La guardia blanca,Julien Elie,Estrenos,Canadá,407,29,Adultos,2024,Junio,Sala
La habitación azul,Mathieu Amalric,FICUNAM 2024,Francia,141,1,Adultos,2024,Junio,Sala
La hora de la liberación ha llegado,Heiny Srour,FICUNAM 2024,Líbano,68,1,Adultos,2024,Junio,Sala
La huella de mis labios,Julián Hernández,Festival Mix 2024,México,211,2,Adultos,2024,Junio,Sala
La práctica,Martín Rejtman,FICUNAM 2024,"Argentina, Chile, Alemania, Portugal",79,1,Adultos,2024,Junio,Sala
La pura vida,Dylan Verrechia,Festival Mix 2024,México,24,1,Adultos,2024,Junio,Sala
La quimera,Alice Rohrwacher,Estrenos,Italia-Francia-Suiza,389,6,Adultos,2024,Junio,Sala
La supremacía del anime,Kohei YOSHINO,Funciones especiales,Japón,174,1,Adultos,2024,Junio,Sala
Las madres de Plaza de Mayo,"Lourdes Portillo, Susana Muñoz",Funciones especiales,Argentina,141,1,Adultos,2024,Junio,Sala
Latino Bar,Paul Leduc,FICUNAM 2024,España-Venezuela-Cuba,83,1,Adultos,2024,Junio,Sala
Légua,Filipa Reis y João Miller Guerra,8 Semana de Cine Portugués,Portugal,24,1,Adultos,2024,Junio,Sala
Leila y los lobos,Heiny Srour,FICUNAM 2024,"Líbano, Palestina",77,1,Adultos,2024,Junio,Sala
Lengua extranjera,Claire Burger,Festival Mix 2024,Francia,43,1,Adultos,2024,Junio,Sala
Lo mejor está por venir,Nanni Moretti,Estrenos,Italia-Francia,746,20,Adultos,2024,Junio,Sala
Lobo y perro,Cláudia Varejão,Estrenos,Portugal-Francia,238,3,Adultos,2024,Junio,Sala
Los amantes astronautas,Marco Berger,Festival Mix 2024,Argentina,119,1,Adultos,2024,Junio,Sala
Los caminos del Che,Pablo Mensi,Funciones especiales,Argentina,42,1,Adultos,2024,Junio,Sala
Los demonios del amanecer,Julián Hernández,Festival Mix 2024,México,170,1,Adultos,2024,Junio,Sala
Luces azules,Lucas Santa Anna,Festival Mix 2024,Argentina,108,1,Adultos,2024,Junio,Sala
Luces nórdicas,Varios,Festival Mix 2024,varios,18,1,Adultos,2024,Junio,Sala
Más allá de lo normal y lo convencional,Katherine Sender,Festival Mix 2024,EUA,27,1,Adultos,2024,Junio,Sala
Mata seca en llamas,Adirley Queirós y Joana Pimenta,Estrenos,Portugal-Brasil,802,26,Adultos,2024,Junio,Sala
Matatena 25 Aniversario Programa 1,Varios,Funciones especiales,(México,45,1,Adultos,2024,Junio,Sala
Matatena 25 Aniversario Programa 2,Varios,Funciones especiales,México,31,1,Adultos,2024,Junio,Sala
Matatena 25 Aniversario Programa 3,Varios,Funciones especiales,México,42,2,Adultos,2024,Junio,Sala
Matatena 25 Aniversario Programa 4,Varios,Funciones especiales,México,92,2,Adultos,2024,Junio,Sala
Memoria de pez,Cheng Hung-I,Festival Mix 2024,Taiwán,77,1,Adultos,2024,Junio,Sala
Metok,Martín Solá,Estrenos,Italia-Argentina,155,3,Adultos,2024,Junio,Sala
Mi amigo el robot,Pablo Berger,Estrenos,España-Francia,8605,71,Adultos,2024,Junio,Sala
Mostro,José Pablo Escamilla,Estrenos,México,322,12,Adultos,2024,Junio,Sala
Música,Angela Schanelec,Estrenos,Alemania-Francia-Grecia-Serbia,158,3,Adultos,2024,Junio,Sala
Naturaleza,2020,FICUNAM 2024,"Armenia, Francia, Alemania",130,1,Adultos,2024,Junio,Sala
Necesidades de una viajera,Hong Sangsoo,FICUNAM 2024,Corea del Sur,128,1,Adultos,2024,Junio,Sala
Noémie dice que sí,Geneviève Albert,Estrenos,Canadá,250,6,Adultos,2024,Junio,Sala
Nowhere Near,Miko Revereza,FICUNAM 2024,Filipinas,58,1,Adultos,2024,Junio,Sala
Oso Polar,Marcelo Tobar,Festival Mix 2024,México,43,1,Adultos,2024,Junio,Sala
Pequeños peces,Joong-ha Park,Estrenos,Corea del Sur,298,13,Adultos,2024,Junio,Sala
Presentación editorial: conmemorativas de los 50,Varios,Extensión Académica,México,55,1,Adultos,2024,Junio,Sala
Queer Exile Berlin,Jochen Hick,Festival Mix 2024,Alemania,24,1,Adultos,2024,Junio,Sala
Reas,Lola Arias,FICUNAM 2024,"Argentina, Alemania, Suiza",88,1,Adultos,2024,Junio,Sala
Repulsión,Roman Polanski,Estrenos,Reino Unido,3621,57,Adultos,2024,Junio,Sala
Río de sapos,Juan Nuñch,FICUNAM 2024,México-Catar,169,1,Adultos,2024,Junio,Sala
Rodajas de pan,,Funciones especiales,,174,1,Adultos,2024,Junio,Sala
Runner,Marian Mathias,Estrenos,Estados Unidos-Francia-Alemania,1426,40,Adultos,2024,Junio,Sala
Ryuichi Sakamoto: Coda,Stephen Nomura Schible,FICUNAM 2024,EUA-Japón,1,1,Adultos,2024,Junio,Sala
Ryuichi Sakamoto: OPUS,Neo Sora,FICUNAM 2024,Japón,170,1,Adultos,2024,Junio,Sala
Saul Levine y su enseñanza: El tema supremo del,"Saul Levine, Laurie McKenna, Silvia Gruner, Annalisa Quagliata, Rian Brown",Funciones especiales,Estados Unidos- México,71,1,Adultos,2024,Junio,Sala
Saul Levine: Notas e iluminaciones tras un largo,Saul Levine y Marjorie Keller,Funciones especiales,Estados Unidos,57,1,Adultos,2024,Junio,Sala
Sebastián,Mikko Mäkelá,Festival Mix 2024,Reino Unido/ Finlandia,158,1,Adultos,2024,Junio,Sala
Sisters: el verano que encontramos nuestros super,Silje Salomonsen y Arild Østin Ommundsen.,Matiné infantil 2024,Noruega,55,3,Niños,2024,Junio,Sala
Super natural,Jorge Jácome,8 Semana de Cine Portugués,Portugal,42,1,Adultos,2024,Junio,Sala
Todo el silencio,Diego del Río,Festival Mix 2024,México,60,1,Adultos,2024,Junio,Sala
Todos los incendios,Mauricio Calderón Rico,Estrenos,México,655,10,Adultos,2024,Junio,Sala
Tómate la sopa,Mathieu Amalric,FICUNAM 2024,Francia,60,1,Adultos,2024,Junio,Sala
Top shorts 2024,Varios,Festival Mix 2024,Varios,59,1,Adultos,2024,Junio,Sala
Tres hermanos,Francisco J. Paparella,Estrenos,Argentina-Chile,872,29,Adultos,2024,Junio,Sala
Trilogía de Beirut,Jocelyne Saab,FICUNAM 2024,"Francia, Líbano",109,1,Adultos,2024,Junio,Sala
Trio en mi bemol,Rita Azevedo Gomes,Estrenos,Portugal,500,18,Adultos,2024,Junio,Sala
Trote,Xacio Baño,Estrenos,"España, Lituania",568,24,Adultos,2024,Junio,Sala
Umbral Luke Fowler,Luke Fowler,FICUNAM 2024,Escocia-Francia-Reino Unido,41,1,Adultos,2024,Junio,Sala
Umbral 0 x síntesis,Biznaga Audiovisual + Pardo + Sosa + Tejera,FICUNAM 2024,"México, Panamá",79,1,Adultos,2024,Junio,Sala
Umbral 1,Utkarsh + Marín + Moreno Bueno + Sternberg + Noren,FICUNAM 2024,"India, Estados Unidos, Argentina, España, Canadá",51,1,Adultos,2024,Junio,Sala
Umbral 2,Malandro + Saucedo + Decker + Aurand + Lapore,FICUNAM 2024,"Cuba, España, Uruguay, Bolivia, Estados Unidos, Alemania, Brasil",67,1,Adultos,2024,Junio,Sala
Umbral 3,limura + vom Gröller + Zahlner + Zuluaga,FICUNAM 2024,"Japón, Estados Unidos, Austria, Portugal, México, Colombia",42,1,Adultos,2024,Junio,Sala
Umbral 4,Little Egypt Collective + Najd Ahmadi + Gardaf + Maxy,FICUNAM 2024,"Estados Unidos, Irán, Serbia, Reino Unido, Italia",59,1,Adultos,2024,Junio,Sala
Umbral 5,Phillips + Beavers + Todd + Elsaesser,FICUNAM 2024,"Alemania, Estados Unidos, Reino Unid",40,1,Adultos,2024,Junio,Sala
Umbral Juanita Onzaga,Juanita Onzaga,FICUNAM 2024,Colombia-Bélgica,46,1,Adultos,2024,Junio,Sala
Un viejo narciso,Tsuyoshi Shoji,Festival Mix 2024,Japón,182,3,Adultos,2024,Junio,Sala
Una mirada honesta,Roberto Persano y Santiago Nacif,Estrenos,Argentina-Colombia,275,31,Adultos,2024,Junio,Sala
Una noche de no saber nada,Payal Kapadia,Estrenos,India-Francia,385,21,Adultos,2024,Junio,Sala
Valeria viene a casarse,Michal Vinik,Estrenos,Israel-Ucrania,1167,31,Adultos,2024,Junio,Sala
Voces transparentes,Eduardo Rodríguez Torreblanca,Funciones especiales,México,170,1,Adultos,2024,Junio,Sala
Yurei (fantasmas),Sumie García Hirata,FICUNAM 2024,México,119,1,Adultos,2024,Junio,Sala
Zorn,Mathieu Amalric,FICUNAM 2024,Francia,49,1,Adultos,2024,Junio,Sala
Zorn II,Mathieu Amalric,FICUNAM 2024,Francia,58,1,Adultos,2024,Junio,Sala
Zorn III,Mathieu Amalric,FICUNAM 2024,Francia,45,1,Adultos,2024,Junio,Sala
El carretón del desierto,Jorge Prior,CC,México,300,4,Adultos,2024,Junio,Foro Gratis
"DISTINTO AMANECER
", Julio Bracho,CC,México,460,5,Adultos,2024,Junio,Foro Gratis
EARTH PROTECTORS,Anne de Carbuccia,DÍA MUNDIAL DE LOS OCÉANOS DE LAS NACIONES UNIDAS,"Estados Unidos, Italia",200,1,Adultos,2024,Junio,Foro Gratis
"PEQUEÑOS PECES
","Joong-ha Park, ",CC,Corea del Sur,500,6,Adultos,2024,Junio,Foro Gratis
LOS SUEÑOS Y LOS DÍAS EN CUBA,Jimena Perzabal Losada,CC,México,276,6,Adultos,2024,Junio,Foro Gratis
"20,000 especies de abejas",Estibaliz Urresola Solaguren,CC,España,1546,29,Adultos,2024,Julio,sala 
Agua caliente,Diego Hernández,43 Foro Internacional de Cine,México,180,12,Adultos,2024,Julio,sala 
Ahora la luz cae vertical,Efthymia Zymvragaki,43 Foro Internacional de Cine,España-Alemania-Italia-Países Bajos,75,4,Adultos,2024,Julio,sala 
Anhell69,Theo Montoya,CC,Colombia-Rumania-Francia-Alemania,540,12,Adultos,2024,Julio,sala 
Antes que lleguen los zopilotes,Jonás N. Díaz,43 Foro Internacional de Cine,Mexico,571,12,Adultos,2024,Julio,sala 
Ariel,Aki Kaurismaki,MUBI Fest,Finlandia,172,1,Adultos,2024,Julio,sala 
Ascenso y caída,Kevin Macdonald,MUBI Fest,Reino Unido,340,2,Adultos,2024,Julio,sala 
Battle royale,Kinji Fukasaku,MUBI Fest,Japón,748,2,Adultos,2024,Julio,sala 
Caminos cruzados,Levan Akin,Estrenos,Suecia-Dinamarca-Francia-Turquía-Georgia,1606,22,Adultos,2024,Julio,sala 
Charla Culto y horror divergencias del género,Varios,MUBI Fest,México,159,1,Adultos,2024,Julio,sala 
Charla Dahomey: Repatriación y Postcolonialismo,Varios,MUBI Fest,México,107,1,Adultos,2024,Julio,sala 
Charla La revolución de lo visible,varios,MUBI Fest,México,134,1,Adultos,2024,Julio,sala 
Cineclub: El espíritu de colmena,Victor Erice,Extensión Académica,España,120,1,Adultos,2024,Julio,sala 
Cineclub: El insulto,Ziad Doueirii,Extensión Académica,Líbano,60,1,Adultos,2024,Julio,sala 
Cineclub: El laberinto del Fauno,Guillermo del Toro,Extensión Académica,España,188,1,Adultos,2024,Julio,sala 
Cineclub: En tierra de nadie,Danis Tanovic,Extensión Académica,Bosnia-Herzegovina,94,1,Adultos,2024,Julio,sala 
Cineclub: Instituto Benjamenta,"Timothy Quay, Stephen Quay",Extensión Académica,Reino Unido,37,1,Adultos,2024,Julio,sala 
Cineclub: Kes,Ken Loach,Extensión Académica,Reino Unido,96,1,Adultos,2024,Julio,sala 
Cineclub: La casa lobo,"Joaquín Cociña, Cristóbal León",Extensión Académica,Chile,109,1,Adultos,2024,Julio,sala 
Cineclub: La vida de Brian,Terry Jones,Extensión Académica,Reino Unido,37,1,Adultos,2024,Julio,sala 
Cineclub: Las bestias,Rodrigo Sorogoyen,Extensión Académica,España,37,1,Adultos,2024,Julio,sala 
Cineclub: Las bicicletas son para el verano,Jaime Chávarri,Extensión Académica,España,82,1,Adultos,2024,Julio,sala 
Cineclub: Mad God,Phil Tippett,Extensión Académica,Estados Unidos,175,1,Adultos,2024,Julio,sala 
Cineclub: Ratcarcher,Lynne Ramsay,Extensión Académica,Reino Unido,37,1,Adultos,2024,Julio,sala 
Cineclub: Tiempos modernos,Charles Chaplin,Extensión Académica,Estados Unidos,130,1,Adultos,2024,Julio,sala 
Cineclub: Todo o nada,Peter Cattaneo,Extensión Académica,Reino Unido,79,1,Adultos,2024,Julio,sala 
Close,Lukas Dhont,MUBI Fest,Bélgica-Francia-Países Bajos,347,2,Adultos,2024,Julio,sala 
Club cero,Jessica Hausner,CC,Austria-Francia-Reino Unido-Alemania-Dinamarca-Catar,4355,49,Adultos,2024,Julio,sala 
Conferencia 50 años CNA,Rigoberto Castañeda,Extensión Académica,México,45,1,Adultos,2024,Julio,sala 
Conferencia Cineteca Nacional 50 años,Arturo Ripstein,Extensión Académica,México,250,2,Adultos,2024,Julio,sala 
Control,Anton Corbijn,MUBI Fest,"Reino Unido, Australia",170,1,Adultos,2024,Julio,sala 
Conversando con Nuestros Cineastas 2024,Alejandro Springall,Extensión Académica,México,172,2,Adultos,2024,Julio,sala 
Cortos Mariana Botey,Mariana Botey,El quasi-cinema de Mariana Botey,México,60,1,Adultos,2024,Julio,sala 
Culpa y deseo,Catherine Breilla,CC,Francia-Noruega,73,2,Adultos,2024,Julio,sala 
Dahomey,Mati Diop,MUBI Fest,"Francia, Senegal, Berlín",170,2,Adultos,2024,Julio,sala 
Días perfectos,Wim Wenders,CC,Japón-Alemania,3192,27,Adultos,2024,Julio,sala 
Drive my car,Ry?suke Hamaguchi,MUBI Fest,Japón,343,2,Adultos,2024,Julio,sala 
El libro de las soluciones,Michel Gondry,CC,Francia,2605,42,Adultos,2024,Julio,sala 
El maestro jardinero,Paul Schrader,CC,Estados Unidos,54,2,Adultos,2024,Julio,sala 
El sacrificio,Andrei Tarkovsky,MUBI Fest,"Suecia, Francia",748,2,Adultos,2024,Julio,sala 
El secreto de Romelia,Busi Cortés,Funciones especiales,México,348,2,Adultos,2024,Julio,sala 
El tiempo de la hormiga,Stephanie Brewster Ramírez,CC,México,784,41,Adultos,2024,Julio,sala 
El tío,"David Kapac, Andrija Mardeši?.",Estrenos,Croacia-Serbia,273,6,Adultos,2024,Julio,sala 
El último bar,Ken Loach,Estrenos,Reino Unido-Francia-Bélgica,2740,26,Adultos,2024,Julio,sala 
Elaha,Milena Aboyan,CC,Alemania,1511,27,Adultos,2024,Julio,sala 
Eureka,Lisandro Alonso,43 Foro Internacional de Cine,Francia-Alemania-México-Argentina-Portugal,374,12,Adultos,2024,Julio,sala 
FISURAS Sasha Waters,Sasha Waters,Funciones especiales,Estados Unidos,61,1,Adultos,2024,Julio,sala 
Fuego interior: réquiem para Katia y Maurice,Werner Herzog,CC,Reino Unido-Francia-Suiza-Estados Unidos,557,9,Adultos,2024,Julio,sala 
Gasoline rainbow,Bill Ross and Turner Ross,MUBI Fest,Estados Unidos,170,1,Adultos,2024,Julio,sala 
Hachiko: una historia verdadera,Xu Ang,CC,China,1013,18,Adultos,2024,Julio,sala 
Hasta encontrarnos. Historias de desaparición,N/A,Funciones especiales,N/A,174,1,Adultos,2024,Julio,sala 
Hecho en Inglaterra: las películas de Powell y Pr,David Hinton,MUBI Fest,Reino Unido,157,2,Adultos,2024,Julio,sala 
Ida Vitale,María Arrillaga,43 Foro Internacional de Cine,Uruguay,329,12,Adultos,2024,Julio,sala 
Intensamente 2 DOB,Kelsey Mann,Matiné infantil 2024,Estados Unidos-Japón,1025,10,Niños ,2024,Julio,sala 
Kenya,Gisela Delgadillo,CC,México,512,9,Adultos,2024,Julio,sala 
Kokomo City,D. Smith,MUBI Fest,EUA,225,1,Adultos,2024,Julio,sala 
La chica de la fábrica de fósforos,Aki Kaurismaki,MUBI Fest,"Finlandia, Suecia",172,1,Adultos,2024,Julio,sala 
